id,popularity,return,vote_average,release_year,runtime,belongs_to_collection,production_companies,production_countries,16,35,10751,12,14,10749,18,28,80,53,27,36,878,9648,10752,10402,99,37,10769,10770,en,fr,es,de,it,ja,ru,zh,pt,cn,other_lang
66,7.66124,1.0013662,6.4,1997,121.0,,"[5, 97, 171]",['US'],0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
67,3.714186,0.0,6.9,2005,90.0,,"[15, 89, 91, 93, 95, 315, 703, 850, 4508, 6916, 7307]","['PS', 'FR', 'DE', 'IL', 'NL']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,9.837287,0.0,7.6,1985,132.0,,[10214],['GB'],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,11.476443,6.658531535714285,7.3,2005,136.0,,"[84, 85, 86, 711, 6402]","['DE', 'US']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,14.471373,7.225454866666666,7.7,2004,132.0,,"[126, 171, 1171, 6194, 16311]",['US'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,12.158424,22.0,7.4,2000,110.0,,"[288, 686, 694, 718, 10163, 10462]","['FR', 'GB']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,18.157166,1.19375635,8.2,1998,119.0,,"[12, 924, 11308]",['US'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,19.929377,4.482874083333333,6.2,2005,116.0,,"[4, 27, 44, 56]",['US'],0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,15.63424,1.4481573857142858,6.1,1996,106.0,,[8601],['US'],0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
76,11.304979,2.214162,7.7,1995,105.0,123800,"[98, 6194]","['AT', 'CH', 'US']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
77,15.450789,4.413677333333333,8.1,2000,113.0,,"[491, 506, 598, 34446]",['US'],0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,96.272374,1.1835577857142856,7.9,1982,117.0,422837,"[5798, 6194, 7965]","['US', 'HK', 'GB']",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
79,9.861765,5.722401032258064,7.3,2002,99.0,,"[724, 2269]",['CN'],0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,7.048957,5.923190740740741,7.6,2004,80.0,123800,"[97, 98, 11509]",['US'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
81,11.267366,3.301446,7.7,1984,117.0,,[29],['JP'],1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,11.72545,1.2132926592592592,5.7,2006,134.0,,"[33, 675, 52844, 52845, 52846]","['UY', 'US', 'DE', 'PY']",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
83,10.652818,420.5227230769231,5.3,2004,79.0,86113,[22376],['US'],0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,19.901576,21.662553944444443,7.7,1981,115.0,84,"[1, 4]",['US'],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
86,11.552537,0.0,6.4,2006,105.0,,"[74, 75]","['DE', 'IE']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
87,15.802306,11.892857142857142,7.1,1984,118.0,84,"[1, 4]",['US'],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,14.044122,35.659045666666664,7.1,1987,100.0,86058,"[137, 12360]",['US'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,14.788987,9.878579291666666,7.6,1989,127.0,84,"[1, 4]",['US'],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90,8.503483,21.09069853333333,6.8,1984,105.0,85861,"[4, 30]",['US'],0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,9.473772,0.0,7.7,1959,160.0,,[5],['US'],0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,13.235112,3.9557111857142857,6.5,1998,151.0,,"[130, 9195, 11533]",['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
96,9.200336,14.9982518,6.1,1987,100.0,85861,"[4, 30, 10288]",['US'],0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,16.574021,1.9411764705882355,6.6,1982,96.0,63043,"[2, 558]",['US'],0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,23.186667,4.443110941747573,7.9,2000,155.0,,"[27, 33, 1645, 14440, 21904, 21905, 21906]","['GB', 'US']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,10.000915,8.204771202577858,7.4,1999,101.0,,"[82, 83]","['ES', 'FR']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,4.60786,2.8870881481481483,7.5,1998,105.0,,"[146, 491, 1382, 13419, 21920]",['GB'],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,20.477329,2.830310875,8.2,1994,110.0,,"[5, 9]","['FR', 'US']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,6.818513,0.0,6.8,2002,113.0,,[76],['DK'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,14.092713,21.74044153846154,8.1,1976,114.0,,"[441, 46059, 46060]",['US'],0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
104,7.765379,4.750055555555556,7.2,1998,81.0,,"[1972, 7025]",['DE'],0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
105,25.778509,20.05840852631579,8.0,1985,116.0,264,"[33, 56, 20448]",['US'],0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,18.495694,5.457530444444444,7.3,1987,107.0,399,"[306, 840, 1302, 1885, 5263, 5264]",['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
107,14.014025,8.3557872,7.7,2000,103.0,,"[441, 3287, 13419]","['GB', 'US']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
108,8.843517,0.0,7.7,1993,98.0,131,"[591, 1610]","['FR', 'PL']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,6.5898,0.0,7.3,1994,91.0,131,"[183, 591, 850]","['FR', 'PL']",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,7.832755,0.0,7.8,1994,99.0,131,"[38, 183, 591, 1245]","['FR', 'PL', 'CH']",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,11.299673,2.63538812,8.0,1983,170.0,,[33],['US'],0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
112,5.396508,0.0,6.5,2000,112.0,,[76],"['DK', 'SE']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,8.157887,0.0,7.6,2003,103.0,,"[139, 254, 685, 11554, 11555, 11556, 11557]","['KR', 'DE']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,13.348451,33.07142857142857,7.0,1990,119.0,,"[9195, 10282]",['US'],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
115,15.952524,3.079304533333333,7.8,1998,117.0,,"[37, 1382, 10163]","['GB', 'US']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
116,9.020372,5.6870916,7.2,2005,124.0,,[7],"['IE', 'LU', 'RU', 'GB', 'US']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
